course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,tags
(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k,isc ² systems security certified practitioner sscp isc ² specialization beginner
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k,a crash course in causality inferring causal effects from observational data university of pennsylvania course intermediate
A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k,a crash course in data science johns hopkins university course mixed
A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91k,a law student s toolkit yale university course mixed
A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320k,a life of happiness and fulfillment indian school of business course mixed
ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k,adhd everyday strategies for elementary students university at buffalo course beginner
AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k,ai for everyone deeplearning ai course beginner
AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k,ai for medical treatment deeplearning ai course intermediate
AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k,ai foundations for everyone ibm specialization beginner
AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k,ai for medical diagnosis deeplearning ai course intermediate
AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k,ai for medical prognosis deeplearning ai course intermediate
AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k,ai for medicine deeplearning ai specialization intermediate
AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k,aws fundamentals amazon web services specialization beginner
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k,aws fundamentals addressing security risk amazon web services course beginner
AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k,aws fundamentals building serverless applications amazon web services course beginner
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k,aws fundamentals going cloud native amazon web services course beginner
AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k,aws fundamentals migrating to the cloud amazon web services course intermediate
Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6.6k,aboriginal worldviews and education university of toronto course mixed
Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k,academic english writing university of california irvine specialization beginner
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k,accelerated computer science fundamentals university of illinois at urbana champaign specialization intermediate
Access Controls,(ISC)²,COURSE,4.6,Beginner,2.9k,access controls isc ² course beginner
Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80k,accounting analytics university of pennsylvania course mixed
Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9.9k,accounting for decision making university of michigan course intermediate
Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k,achieving personal and professional success university of pennsylvania specialization beginner
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23k,actualización en el manejo del paciente con diabetes mellitus tipo 2 universidad nacional autónoma de méxico course mixed
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9.2k,addiction treatment clinical skills for healthcare providers yale university course beginner
Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78k,advanced business analytics university of colorado boulder specialization intermediate
Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320k,advanced data science with ibm ibm specialization advanced
Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k,advanced machine learning national research university higher school of economics specialization advanced
Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35k,advanced machine learning with tensorflow on google cloud platform google cloud specialization advanced
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29k,advanced valuation and strategy m a private equity and venture capital erasmus university rotterdam course advanced
Advertising and Society,Duke University,COURSE,4.8,Mixed,14k,advertising and society duke university course mixed
Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21k,age of cathedrals yale university course beginner
Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94k,agile development university of virginia specialization beginner
Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69k,agile meets design thinking university of virginia course beginner
Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40k,agile with atlassian jira atlassian course beginner
Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12k,agile и scrum в работе над проектами и продуктами scrumtrek course beginner
